geo_id,geo_id2,block_group,tract,county,block_tract,total_pop,total_inc,inc_less_10k,inc_10k_14999,inc_15k_19999,inc_20k_24999,inc_25k_29999,inc_30k_34999,inc_35k_39999,inc_40k_44999,inc_45k_49999,inc_50k_59999,inc_60k_74999,inc_75k_99999,inc_100k_124999,inc_125k_149999,inc_150k_199999,inc_200k_more,total_labor,total_in_laborforce,total_notin_laborforce,total_civil_labor,emp_civil_labor,unemp_civil_labor,total_armedforces,total_vacdata,total_occ_homes,total_vac_homes,total_ordata,total_owner,total_renter
1500000US130950104011,130950104011,1,10401,Dougherty County,1_10401,1947,789,0,0,0,0,20,9,113,39,36,15,165,88,119,51,86,48,1678,1073,605,1073,1036,37,0,810,789,21,1947,1487,460
1500000US130950104012,130950104012,2,10401,Dougherty County,2_10401,2862,1045,0,0,52,16,27,116,62,38,17,65,134,200,37,87,51,143,2276,1453,823,1453,1385,68,0,1045,1045,0,2862,2099,763
1500000US130950104013,130950104013,3,10401,Dougherty County,3_10401,2081,819,17,0,0,15,13,65,0,14,51,91,52,110,123,81,122,65,1598,1045,553,1045,1027,18,0,819,819,0,2076,1995,81
1500000US130950104021,130950104021,1,10402,Dougherty County,1_10402,3393,1326,125,62,86,161,116,42,56,69,12,129,131,173,119,22,23,0,2422,1448,974,1448,1328,120,0,1423,1326,97,3393,1728,1665
1500000US130950104031,130950104031,1,10403,Dougherty County,1_10403,1594,618,76,25,29,10,41,30,34,11,4,18,50,58,58,40,63,71,1253,763,490,763,731,32,0,702,618,84,1594,1044,550
1500000US130950105001,130950105001,1,10500,Dougherty County,1_10500,1476,517,69,63,5,35,9,25,5,41,38,36,64,70,53,0,4,0,1245,677,568,677,533,144,0,578,517,61,1476,970,506
1500000US130950105002,130950105002,2,10500,Dougherty County,2_10500,815,331,18,35,13,48,5,12,23,21,29,6,35,32,54,0,0,0,710,315,395,315,251,64,0,371,331,40,815,786,29
1500000US130950106011,130950106011,1,10601,Dougherty County,1_10601,843,396,110,43,73,15,33,35,29,11,6,16,3,8,14,0,0,0,715,362,353,362,208,154,0,577,396,181,843,262,581
1500000US130950106012,130950106012,2,10601,Dougherty County,2_10601,1298,478,130,93,52,56,34,19,0,9,14,59,0,4,8,0,0,0,863,456,407,456,368,88,0,585,478,107,1298,386,912
1500000US130950106021,130950106021,1,10602,Dougherty County,1_10602,1780,662,157,54,81,16,40,22,18,27,16,48,37,44,39,11,52,0,1330,752,578,752,564,188,0,767,662,105,1775,992,783
1500000US130950106022,130950106022,2,10602,Dougherty County,2_10602,1829,746,93,93,64,0,53,73,134,29,29,63,40,26,31,0,18,0,1510,741,769,741,670,71,0,794,746,48,1829,1299,530
1500000US130950107001,130950107001,1,10700,Dougherty County,1_10700,2449,859,314,150,67,86,51,0,50,0,52,13,44,32,0,0,0,0,1609,1021,588,1021,838,183,0,943,859,84,2449,418,2031
1500000US130950107002,130950107002,2,10700,Dougherty County,2_10700,786,417,98,84,52,67,0,7,40,5,9,48,0,0,7,0,0,0,693,306,387,306,206,100,0,463,417,46,786,313,473
1500000US130950107003,130950107003,3,10700,Dougherty County,3_10700,2906,619,236,26,63,86,0,28,10,83,4,0,0,0,53,30,0,0,2394,1416,978,1416,962,454,0,675,619,56,1714,387,1327
1500000US130950109001,130950109001,1,10900,Dougherty County,1_10900,1134,427,40,47,40,16,24,3,32,0,23,51,69,41,13,0,18,10,869,617,252,617,517,100,0,481,427,54,1129,835,294
1500000US130950109002,130950109002,2,10900,Dougherty County,2_10900,556,209,17,5,0,6,0,8,0,0,29,18,42,43,25,16,0,0,512,329,183,329,283,46,0,236,209,27,556,518,38
1500000US130950109003,130950109003,3,10900,Dougherty County,3_10900,108,44,21,14,6,0,0,0,3,0,0,0,0,0,0,0,0,0,62,27,35,27,20,7,0,72,44,28,108,37,71
1500000US130950110001,130950110001,1,11000,Dougherty County,1_11000,985,465,52,20,13,19,16,42,4,28,18,82,66,23,48,11,23,0,832,490,342,490,405,85,0,558,465,93,985,805,180
1500000US130950110002,130950110002,2,11000,Dougherty County,2_11000,1269,546,51,26,48,14,40,5,17,40,52,63,60,67,34,12,9,8,1068,561,507,561,498,63,0,647,546,101,1269,1082,187
1500000US130950112001,130950112001,1,11200,Dougherty County,1_11200,1555,392,68,32,52,30,7,7,15,0,18,48,47,30,0,7,0,31,1398,819,579,819,486,333,0,402,392,10,855,647,208
1500000US130950112002,130950112002,2,11200,Dougherty County,2_11200,1490,540,134,23,54,41,33,66,0,9,33,9,63,0,54,21,0,0,1177,731,446,731,561,170,0,623,540,83,1490,603,887
1500000US130950112003,130950112003,3,11200,Dougherty County,3_11200,926,285,9,30,42,13,16,0,0,30,55,33,15,28,14,0,0,0,840,330,510,330,264,66,0,388,285,103,926,646,280
1500000US130950113001,130950113001,1,11300,Dougherty County,1_11300,2889,991,66,53,100,54,72,38,85,110,0,135,77,36,75,47,18,25,2335,1101,1234,1069,952,117,32,1227,991,236,2481,633,1848
1500000US130950114001,130950114001,1,11400,Dougherty County,1_11400,901,375,137,61,12,12,30,4,13,32,4,27,9,0,17,17,0,0,610,290,320,290,261,29,0,427,375,52,901,212,689
1500000US130950114002,130950114002,2,11400,Dougherty County,2_11400,481,103,33,0,12,8,2,7,2,5,0,26,0,8,0,0,0,0,436,114,322,106,74,32,8,181,103,78,194,9,185
1500000US130950116001,130950116001,1,11600,Dougherty County,1_11600,1487,564,28,63,22,26,39,9,28,11,1,68,60,59,75,46,20,9,1203,674,529,674,616,58,0,649,564,85,1487,1184,303
1500000US130950116002,130950116002,2,11600,Dougherty County,2_11600,456,128,33,0,0,6,10,6,14,0,46,5,8,0,0,0,0,0,278,221,57,81,81,0,140,136,128,8,384,18,366
1500000US131770201001,131770201001,1,20100,Lee County,1_20100,1446,758,171,70,33,64,39,8,72,38,12,89,12,112,18,0,20,0,1279,633,646,633,575,58,0,829,758,71,1439,1256,183
1500000US131770201002,131770201002,2,20100,Lee County,2_20100,2262,863,73,46,10,0,0,37,35,70,9,169,108,83,64,49,110,0,1892,1284,608,1272,1124,148,12,863,863,0,2262,1636,626
1500000US131770201003,131770201003,3,20100,Lee County,3_20100,2651,907,41,0,10,0,0,96,16,55,55,36,107,139,237,69,46,0,1861,1520,341,1520,1413,107,0,915,907,8,2651,2555,96
