GEO.id,GEO.id2,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,block,tract,county,block_tract
Id,Id2,Estimate; Total:,Margin of Error; Total:,Estimate; In labor force:,Margin of Error; In labor force:,Estimate; In labor force: - Civilian labor force:,Margin of Error; In labor force: - Civilian labor force:,Estimate; In labor force: - Civilian labor force: - Employed,Margin of Error; In labor force: - Civilian labor force: - Employed,Estimate; In labor force: - Civilian labor force: - Unemployed,Margin of Error; In labor force: - Civilian labor force: - Unemployed,Estimate; In labor force: - Armed Forces,Margin of Error; In labor force: - Armed Forces,Estimate; Not in labor force,Margin of Error; Not in labor force,Geography,,,
1500000US132731203004,132731203004,372,123,217,85,217,85,209,86,8,12,0,13,155,78,4,120300,Terrell County,4_120300
1500000US132731204001,132731204001,998,192,364,105,364,105,317,102,47,45,0,13,634,150,1,120400,Terrell County,1_120400
1500000US132731204002,132731204002,707,213,315,141,315,141,258,117,57,51,0,13,392,116,2,120400,Terrell County,2_120400
1500000US132731204003,132731204003,680,158,356,97,356,97,281,100,75,41,0,13,324,120,3,120400,Terrell County,3_120400
1500000US132731205001,132731205001,1189,114,732,114,732,114,665,103,67,36,0,13,457,71,1,120500,Terrell County,1_120500
1500000US133219501001,133219501001,884,215,400,120,400,120,330,97,70,52,0,13,484,141,1,950100,Worth County,1_950100
1500000US133219501002,133219501002,1682,269,926,222,926,222,786,193,140,86,0,13,756,233,2,950100,Worth County,2_950100
1500000US133219502001,133219502001,1260,282,590,213,590,213,590,213,0,13,0,13,670,172,1,950200,Worth County,1_950200
1500000US133219502002,133219502002,1562,313,982,327,982,327,931,283,51,69,0,13,580,195,2,950200,Worth County,2_950200
1500000US133219502003,133219502003,1055,255,641,271,641,271,551,278,90,140,0,13,414,212,3,950200,Worth County,3_950200
1500000US133219502004,133219502004,1437,401,596,241,596,241,497,202,99,105,0,13,841,318,4,950200,Worth County,4_950200
1500000US133219504001,133219504001,1255,227,730,166,730,166,665,156,65,46,0,13,525,132,1,950400,Worth County,1_950400
1500000US133219504002,133219504002,598,195,398,156,398,156,328,125,70,54,0,13,200,81,2,950400,Worth County,2_950400
1500000US133219504003,133219504003,521,127,317,97,317,97,303,103,14,20,0,13,204,68,3,950400,Worth County,3_950400
1500000US133219504004,133219504004,1015,258,434,110,434,110,406,108,28,23,0,13,581,194,4,950400,Worth County,4_950400
